Take a chance on me, ABBA Gold Greatest Hits
Mamma Mia, ABBA Gold Greatest Hits
Gimme Gimme Gimme, ABBA Gold Greatest Hits
Does Your Mother Know, ABBA Gold Greatest Hits
Fernando, Waterloo 
Dancing Queen, Waterloo
Chiquitita, Waterloo
Waterloo, Waterloo
Hells Bells, Back in Black 
Back in Black, Back in Black
Have a Drink on Me, Back in Black
Shake a Leg, Back in Black
Rock and Roll Ain't Noise Pollution, Back in Black
F.I.N.E, Pump
Love in an Elevator, Pump
Monkey on My Back, Pump
My Girl, Pump
Dont Get Mad Get Even, Pump
What it Takes, Pump
Back in the Saddle, Rocks
Last Child, Rocks
Rats in the Cellar, Rocks
Sick as a Dog, Rocks
Sweet Emotion, Toys in The Attic
Walk This Way, Toys in The Attic
